,Country,Region,Population,Area,Coastline,GDP,Pop. Density
47,CookIslands,OCEANIA                            ,21388,240,"50,00",5000.0,89.11666666666666
48,CostaRica,LATIN AMER. & CARIB    ,4075261,51100,"2,52",9100.0,79.75070450097847
49,Coted'Ivoire,SUB-SAHARAN AFRICA                 ,17654843,322460,"0,16",1400.0,54.750489983253736
50,Croatia,EASTERN EUROPE                     ,4494749,56542,"10,32",10600.0,79.49398677089597
51,Cuba,LATIN AMER. & CARIB    ,11382820,110860,"3,37",2900.0,102.67743099404655
52,Cyprus,NEAR EAST                          ,784301,9250,"7,01",19200.0,84.7892972972973
53,CzechRepublic,EASTERN EUROPE                     ,10235455,78866,"0,00",15700.0,129.78285953389295
54,Denmark,WESTERN EUROPE                     ,5450661,43094,"16,97",31100.0,126.48306028681488
55,Djibouti,SUB-SAHARAN AFRICA                 ,486530,23000,"1,37",1300.0,21.153478260869566
56,Dominica,LATIN AMER. & CARIB    ,68910,754,"19,63",5400.0,91.39257294429709
57,DominicanRepublic,LATIN AMER. & CARIB    ,9183984,48730,"2,64",6000.0,188.46673507079828
58,EastTimor,ASIA (EX. NEAR EAST)         ,1062777,15007,"4,70",500.0,70.81875124941693
59,Ecuador,LATIN AMER. & CARIB    ,13547510,283560,"0,79",3300.0,47.776519960502185
60,Egypt,NORTHERN AFRICA                    ,78887007,1001450,"0,24",4000.0,78.77278645963354
61,ElSalvador,LATIN AMER. & CARIB    ,6822378,21040,"1,46",4800.0,324.2575095057034
62,EquatorialGuinea,SUB-SAHARAN AFRICA                 ,540109,28051,"1,06",2700.0,19.2545363801647
63,Eritrea,SUB-SAHARAN AFRICA                 ,4786994,121320,"1,84",700.0,39.457583250906694
64,Estonia,BALTICS                            ,1324333,45226,"8,39",12300.0,29.282558705169592
65,Ethiopia,SUB-SAHARAN AFRICA                 ,74777981,1127127,"0,00",700.0,66.34388227768477
66,FaroeIslands,WESTERN EUROPE                     ,47246,1399,"79,84",22000.0,33.771265189421015
67,Fiji,OCEANIA                            ,905949,18270,"6,18",5800.0,49.58669950738916
68,Finland,WESTERN EUROPE                     ,5231372,338145,"0,37",27400.0,15.47079507311952
69,France,WESTERN EUROPE                     ,60876136,547030,"0,63",27600.0,111.2848216734
70,FrenchGuiana,LATIN AMER. & CARIB    ,199509,91000,"0,42",8300.0,2.1924065934065933
71,FrenchPolynesia,OCEANIA                            ,274578,4167,"60,60",17500.0,65.89344852411807
72,Gabon,SUB-SAHARAN AFRICA                 ,1424906,267667,"0,33",5500.0,5.3234279907497
73,"Gambia,The",SUB-SAHARAN AFRICA                 ,1641564,11300,"0,71",1700.0,145.27115044247788
74,GazaStrip,NEAR EAST                          ,1428757,360,"11,11",600.0,3968.7694444444446
75,Georgia,C.W. OF IND. STATES ,4661473,69700,"0,44",2500.0,66.87909612625538
76,Germany,WESTERN EUROPE                     ,82422299,357021,"0,67",27600.0,230.86120704384336
77,Ghana,SUB-SAHARAN AFRICA                 ,22409572,239460,"0,23",2200.0,93.58378017205379
78,Gibraltar,WESTERN EUROPE                     ,27928,7,"171,43",17500.0,3989.714285714286
79,Greece,WESTERN EUROPE                     ,10688058,131940,"10,37",20000.0,81.00695770804911
80,Greenland,NORTHERN AMERICA                   ,56361,2166086,"2,04",20000.0,0.026019742521765064
81,Grenada,LATIN AMER. & CARIB    ,89703,344,"35,17",5000.0,260.76453488372096
82,Guadeloupe,LATIN AMER. & CARIB    ,452776,1780,"17,19",8000.0,254.3685393258427
83,Guam,OCEANIA                            ,171019,541,"23,20",21000.0,316.11645101663584
84,Guatemala,LATIN AMER. & CARIB    ,12293545,108890,"0,37",4100.0,112.89875103315272
85,Guernsey,WESTERN EUROPE                     ,65409,78,"64,10",20000.0,838.5769230769231
86,Guinea,SUB-SAHARAN AFRICA                 ,9690222,245857,"0,13",2100.0,39.41405776528632
87,Guinea-Bissau,SUB-SAHARAN AFRICA                 ,1442029,36120,"0,97",800.0,39.92328349944629
88,Guyana,LATIN AMER. & CARIB    ,767245,214970,"0,21",4000.0,3.569079406428804
89,Haiti,LATIN AMER. & CARIB    ,8308504,27750,"6,38",1600.0,299.40554954954956
90,Honduras,LATIN AMER. & CARIB    ,7326496,112090,"0,73",2600.0,65.3626193237577
91,HongKong,ASIA (EX. NEAR EAST)         ,6940432,1092,"67,12",28800.0,6355.706959706959
92,Hungary,EASTERN EUROPE                     ,9981334,93030,"0,00",13900.0,107.29156186176502
93,Iceland,WESTERN EUROPE                     ,299388,103000,"4,83",30900.0,2.9066796116504854
94,India,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"0,21",2900.0,333.1777974139111
95,Indonesia,ASIA (EX. NEAR EAST)         ,245452739,1919440,"2,85",3200.0,127.8772657650148
96,Iran,ASIA (EX. NEAR EAST)         ,68688433,1648000,"0,15",7000.0,41.67987439320388
97,Iraq,NEAR EAST                          ,26783383,437072,"0,01",1500.0,61.27910962038291
98,Ireland,WESTERN EUROPE                     ,4062235,70280,"2,06",29600.0,57.80072566875356
99,IsleofMan,WESTERN EUROPE                     ,75441,572,"27,97",21000.0,131.88986013986013
100,Israel,NEAR EAST                          ,6352117,20770,"1,31",19800.0,305.8313432835821
101,Italy,WESTERN EUROPE                     ,58133509,301230,"2,52",26700.0,192.98711615708928
102,Jamaica,LATIN AMER. & CARIB    ,2758124,10991,"9,30",3900.0,250.9438631607679
103,Japan,ASIA (EX. NEAR EAST)         ,127463611,377835,"7,87",28200.0,337.35257718316194
104,Jersey,WESTERN EUROPE                     ,91084,116,"60,34",24800.0,785.2068965517242
105,Jordan,NEAR EAST                          ,5906760,92300,"0,03",4300.0,63.995232936078004
106,Kazakhstan,C.W. OF IND. STATES ,15233244,2717300,"0,00",6300.0,5.6060221543443856
107,Kenya,SUB-SAHARAN AFRICA                 ,34707817,582650,"0,09",1000.0,59.56889556337424
108,Kiribati,OCEANIA                            ,105432,811,"140,94",800.0,130.00246609124537
109,"Korea,North",ASIA (EX. NEAR EAST)         ,23113019,120540,"2,07",1300.0,191.7456363033018
110,"Korea,South",ASIA (EX. NEAR EAST)         ,48846823,98480,"2,45",17800.0,496.00754467912265
111,Kuwait,NEAR EAST                          ,2418393,17820,"2,80",19000.0,135.71228956228956
112,Kyrgyzstan,C.W. OF IND. STATES ,5213898,198500,"0,00",1600.0,26.266488664987406
113,Laos,ASIA (EX. NEAR EAST)         ,6368481,236800,"0,00",1700.0,26.893923141891893
114,Latvia,BALTICS                            ,2274735,64589,"0,82",10200.0,35.21861307653006
115,Lebanon,NEAR EAST                          ,3874050,10400,"2,16",4800.0,372.5048076923077
116,Lesotho,SUB-SAHARAN AFRICA                 ,2022331,30355,"0,00",3000.0,66.62266512930324
